dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1970-0007-ETH,223,1970,1970,0,8,0,Biological,Epidemic,Epidemic,Bacterial Disease,Cholera,Ethiopia,ETH,9.145,40.489673,Eastern Africa,Africa,500,4000,4500,0.211801466,0.084461497
1970-0056-PHL,585,1970,1970,0,8,0,Meteorological,Storm,Storm,Tropical Cyclone,"Joan, Kate",Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,1551,1214985,1216536,0.31704472,0.596420004
1970-0064-PHL,586,1970,1970,0,8,0,Meteorological,Storm,Storm,Tropical Cyclone,Patsy,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,786,432075,432861,0.773447931,0.135504799
1970-0078-PHL,587,1970,1970,0,8,0,Meteorological,Storm,Storm,Tropical Cyclone,Sening,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,575,1593,2168,0.124479228,0.06688349
1970-0079-PHL,588,1970,1970,0,8,0,Meteorological,Storm,Storm,Tropical Cyclone,Titang,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,631,76,707,0.769496186,0.221091383
1970-0063-BGD,215,1970,1970,0,8,0,Meteorological,Storm,Storm,Tropical Cyclone,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,300000,3648000,3948000,0.790754296,0.595779771
1970-0058-BGD,216,1970,1970,0,8,0,Meteorological,Storm,Storm,Storm,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,300,,300,0.69007817,0.567380235
1970-0010-CHN,218,1970,1970,0,8,0,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,10000,,10000,0.662691474,0.954634204
1970-0061-COL,221,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,Colombia,COL,4.570868,-74.297333,South America,Americas,307,5105000,5105307,0.850122762,0.321818915
1970-0028-HUN,224,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,Hungary,HUN,47.162494,19.503304,Eastern Europe,Europe,300,,300,0.611440681,0.848999388
1970-0032-PER,578,1970,1970,0,8,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Peru,PER,-9.189967,-75.015152,South America,Americas,66794,3216240,3283034,0.078882262,0.422085619
1970-0034-IND,579,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,627,10351000,10351627,0.442206271,0.816556592
1970-0105-IND,580,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,400,,400,0.8482606,0.167614708
1970-0003-NER,582,1970,1970,0,8,0,Biological,Epidemic,Epidemic,Bacterial Disease,,Niger,NER,17.607789,8.081666,Western Africa,Africa,319,2677,2996,0.171507863,0.662404616
1970-0040-NPL,583,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,Nepal,NPL,28.394857,84.124008,Southern Asia,Asia,350,20000,20350,0.75382164,0.696718523
1970-0029-ROU,589,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,Romania,ROU,45.943161,24.96676,Eastern Europe,Europe,215,238755,238970,0.543264864,0.670528014
1970-0019-TUR,590,1970,1970,0,8,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,1086,83448,84534,0.618053929,0.86928439
1970-0059-VNM,693,1970,1970,0,8,0,Hydrological,Flood,Flood,Flood,,Vietnam,VNM,14.058324,108.277199,South-Eastern Asia,Asia,237,204000,204237,0.897930603,0.99212578
1971-0028-TCD,598,1971,1971,0,8,1,Biological,Epidemic,Epidemic,Bacterial Disease,Cholera,Chad,TCD,15.454166,18.732207,Middle Africa,Africa,2312,7476,9788,0.410229711,0.386106377
1971-0135-COL,229,1971,1971,0,8,1,Hydrological,Landslide,Landslide,Landslide,,Colombia,COL,4.570868,-74.297333,South America,Americas,200,,200,0.665620028,0.628379787
1971-0010-ESP,230,1971,1971,0,8,1,Meteorological,Extreme_Temperature,Extreme Temperature,Cold Wave,,Spain,ESP,40.463667,-3.74922,Southern Europe,Europe,400,,400,0.099373765,0.636056971
1971-0058-IND,232,1971,1971,0,8,1,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,9658,6900000,6909658,0.24330076,0.935349905
1971-0037-IND,591,1971,1971,0,8,1,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,1023,,1023,0.425595233,0.967891661
1971-0052-IND,592,1971,1971,0,8,1,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,300,35000,35300,0.124011733,0.244417059
1971-0011-MOZ,594,1971,1971,0,8,1,Hydrological,Flood,Flood,Riverine Flood,,Mozambique,MOZ,-18.665695,35.529562,Eastern Africa,Africa,500,500000,500500,0.878715512,0.658315093
1971-0020-PER,595,1971,1971,0,8,1,Hydrological,Landslide,Landslide,Landslide,,Peru,PER,-9.189967,-75.015152,South America,Americas,600,,600,0.352544994,0.980272154
1971-0012-PER,596,1971,1971,0,8,1,Hydrological,Flood,Flood,Flood,,Peru,PER,-9.189967,-75.015152,South America,Americas,250,330000,330250,0.058149775,0.869386991
1971-0034-TUR,599,1971,1971,0,8,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,878,88665,89543,0.603917872,0.494576573
1972-0015-PHL,606,1972,1972,0,8,2,Meteorological,Storm,Storm,Tropical Cyclone,Kit (Asiang),Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,204,28,232,0.647870923,0.691986069
1972-0026-BGD,235,1972,1972,0,8,2,Meteorological,Storm,Storm,Convective Storm,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,200,25000,25200,0.392917674,0.735310783
1972-0027-IRN,600,1972,1972,0,8,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,5057,23458,28515,0.166505693,0.161445059
1972-0147-JPN,601,1972,1972,0,8,2,Hydrological,Flood,Flood,Flood,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,458,,458,0.347873702,0.549324569
1972-0049-KOR,602,1972,1972,0,8,2,Hydrological,Flood,Flood,Riverine Flood,,South Korea,KOR,35.907757,127.766922,Eastern Asia,Asia,672,1126785,1127457,0.37664493,0.306915135
1972-0067-NIC,603,1972,1972,0,8,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Nicaragua,NIC,12.865416,-85.207229,Central America,Americas,10000,720000,730000,0.215466211,0.019382385
1972-0042-PHL,609,1972,1972,0,8,2,Hydrological,Flood,Flood,Flood,,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,653,2770647,2771300,0.195171365,0.81547225
1972-0011-USA,610,1972,1972,0,8,2,Hydrological,Landslide,Landslide,Landslide,,United States,USA,37.09024,-95.712891,Northern America,Americas,400,,400,0.797554064,0.290219183
1972-0037-USA,695,1972,1972,0,8,2,Hydrological,Flood,Flood,Flood,,United States,USA,37.09024,-95.712891,Northern America,Americas,237,3000,3237,0.391927556,0.728402124
1973-0049-PHL,619,1973,1973,0,8,3,Meteorological,Storm,Storm,Tropical Cyclone,Vera,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,270,3400024,3400294,0.926948126,0.019089306
1973-9005-ETH,239,1973,1978,5,8,3,Climatological,Drought,Drought,Drought,,Ethiopia,ETH,9.145,40.489673,Eastern Africa,Africa,100000,3000000,3100000,0.286289718,0.296082107
1973-0053-BGD,240,1973,1973,0,8,3,Meteorological,Storm,Storm,Tropical Cyclone,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,1000,,1000,0.989146382,0.221776957
1973-0023-BGD,241,1973,1973,0,8,3,Meteorological,Storm,Storm,Storm,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,200,50000,50200,0.299073904,0.318309255
1973-0123-BGD,242,1973,1973,0,8,3,Hydrological,Flood,Flood,Flood,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,427,,427,0.710832686,0.602369112
1973-0125-BGD,243,1973,1973,0,8,3,Meteorological,Storm,Storm,Storm,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,700,,700,0.039702314,0.50950059
1973-0030-COL,244,1973,1973,0,8,3,Hydrological,Landslide,Landslide,Landslide,,Colombia,COL,4.570868,-74.297333,South America,Americas,200,,200,0.999390364,0.947579587
1973-0046-ESP,245,1973,1973,0,8,3,Hydrological,Flood,Flood,Flash Flood,,Spain,ESP,40.463667,-3.74922,Southern Europe,Europe,500,,500,0.72576858,0.352776768
1973-0039-HND,246,1973,1973,0,8,3,Hydrological,Landslide,Landslide,Landslide,,Honduras,HND,15.199999,-86.241905,Central America,Americas,2800,,2800,0.293034163,0.945980524
1973-0028-IDN,247,1973,1973,0,8,3,Meteorological,Storm,Storm,Tropical Cyclone,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,1650,,1650,0.458112681,0.793859574
